Country,LandArea,Population,Energy,Rural,Military,Health,HIV,Internet,Developed,BirthRate,ElderlyPop,LifeExpectancy
Kenya,569140,38.765,18021,78.4,8.903746121,5.814851775,6.3,8.666387104,1,38.767,2.65755646,54.23743902
Ethiopia,1000000,80.713,31704,83,,11.46720507,,0.446022406,1,38.23,3.148446104,55.195
Argentina,2736690,39.883,76359,8,,13.72707856,0.5,28.11262348,2,17.269,10.51063861,75.33397561
Saudi Arabia,2000000,24.807,161600,17.58,,8.38309226,,31.28858387,3,23.424,2.869286486,73.11904878
Namibia,823290,2.13,1752,63.16,,12.1311741,13.7,5.329003772,1,27.555,3.591793808,61.01358537
Oman,309500,2.785,16443,28.38,,4.913591361,0.1,19.99740788,2,21.961,2.884726888,75.91321951
Philippines,298170,90.348,41067,35.08,4.89619343,6.131133106,0.1,6.218148522,1,24.728,4.115424682,71.83446341
Solomon Islands,27990,0.511,,82.04,,14.41549418,,1.958204092,,30.447,3.064595405,66.25502439
Latvia,62190,2.266,4484,31.88,6.395470749,10.18851534,0.6,63.20576287,2,10.6,17.18639114,72.4195122
Norway,305470,4.768,29670,22.52,4.220966352,16.67572166,0.1,90.53901127,3,12.7,14.64558881,80.59268293
El Salvador,20720,6.134,4882,39.3,2.859027931,11.91291291,0.8,10.59682975,1,20.235,7.039570675,71.2605122
Vanuatu,12190,0.234,,75.24,,13.50003267,,7.269119923,,30.198,3.280083467,70.29212195
Guinea,245720,9.833,,65.56,,4.325395857,1.4,0.915280144,,39.633,3.205148023,57.8212439
United Kingdom,241930,61.407,208450,10.06,5.771780609,15.12066596,0.2,78.16530408,3,12.9,16.30191246,79.6
Samoa,2830,0.179,,77,,14.88898112,,5.031615316,,23.508,4.805192627,71.75319512
South Africa,1214470,48.793,134489,39.26,4.340992654,10.39161291,17.9,8.581145066,2,22.038,4.369054943,51.4772439
Bolivia,1083300,9.694,5694,34.42,,8.194956639,0.2,10.83131587,1,27.104,4.664315343,65.68378049
Russian Federation,16376870,141.95,686757,27.16,16.29199577,9.171049696,1,31.98309264,3,12.1,13.29468868,67.84878049
New Zealand,263310,4.269,16935,13.44,,18.32653377,0.1,71.37670126,3,15.15,12.5430821,80.35121951
Kuwait,17820,2.728,26291,1.64,14.42208166,6.108475974,,36.65634273,3,17.705,2.086836831,77.96963415
Lithuania,62670,3.358,9177,33.04,4.850804451,12.81203769,0.1,54.6092674,2,10.4,15.96770944,71.81219512
Peru,1280000,28.837,14710,28.6,6.499068388,15.58879256,0.4,24.71970787,1,21.107,5.730707744,73.26190244
Uganda,197100,31.657,,87.02,17.03535006,10.45284394,6.4,7.897181228,,46.151,2.561760301,52.66678049
Luxembourg,2590,0.489,4119,17.56,,13.71566311,0.3,80.87567789,3,11.5,14.03650407,80.08780488
Lesotho,30360,2.049,,74.54,3.144950906,8.22961439,23.6,3.576605972,,28.942,4.749813119,44.99492683
Ukraine,579320,46.258,136143,32.02,7.163484969,8.577685681,1.1,22.4825004,2,11,15.90376231,68.25146341
Central African Republic,622980,4.339,,61.42,,10.96359743,5.1,0.437862374,,35.422,3.879946378,46.95860976
Moldova,32890,3.633,3150,58.24,1.856942687,12.97056248,0.4,23.39426576,1,12.32,11.13695487,68.43714634
"Gambia, The",10000,1.66,,43.58,,11.5987628,1.7,6.878689315,,36.761,2.818395374,55.93239024
Malta,320,0.412,819,5.74,1.506890703,12.28287021,0.1,49.53392402,2,10,14.01736126,79.43170732
Djibouti,23180,0.849,,12.7,,15.34013114,2.6,2.26083168,,28.435,3.166083996,55.3892439
Turkmenistan,469930,5.044,18814,51.38,,7.03255786,,1.487027765,1,21.933,4.310162453,64.82121951
Bosnia and Herzegovina,51200,3.773,5990,52.56,3.366404225,14.04785193,,34.65545573,1,9.097,13.78757886,75.10631707
Chile,743530,16.804,31446,11.56,17.94063197,15.56843554,0.4,32.46999872,2,14.942,8.755320846,78.61395122
Uzbekistan,425400,27.314,50501,63.18,,8.633140865,0.1,9.039419778,1,21.6805348,4.569655482,67.75612195
Niger,1266700,14.704,,83.46,,14.8296074,0.8,0.544057875,,53.536,1.979493236,51.40146341
Slovenia,20140,2.021,7735,51.4,4.079257489,12.91105809,0.1,57.50332951,3,10.8,16.02675567,78.76585366
Azerbaijan,82620,8.68,13367,48.08,22.88424775,2.541835611,0.1,28.16269398,1,17.8,6.767799858,70.17768293
Libya,1759540,6.294,18221,22.46,,5.501682378,,5.131724048,2,23.299,4.130242162,74.329
Armenia,28480,3.077,2997,36.14,16.06258246,7.235004951,0.1,6.207169313,1,15.299,11.56305775,73.53739024
Portugal,91470,10.622,24159,40.54,4.801709145,15.43569354,0.5,44.3569366,2,9.8,17.50128149,78.52439024
Fiji,18270,0.844,,47.64,,10.16884817,0.1,12.20312637,,20.945,4.626040225,68.86573171
Australia,7682300,21.432,130113,11.26,7.709264162,17.09892756,0.1,70.78266874,3,13.8,13.41461655,81.39512195
Mexico,1943950,106.35,180605,22.8,,14.95710258,0.3,21.87139929,1,18.32806384,6.225068165,75.06545258
Belgium,30280,10.708,58583,2.64,2.747224697,14.84269414,0.2,70.46451147,3,11.7,17.24259512,80.42682927
Israel,21640,7.309,22009,8.34,17.12338507,10.02470757,0.2,47.88747811,3,21.5,10.04248814,81.00243902
United Arab Emirates,83600,4.485,58439,22.12,,8.891462255,,71.99999554,3,14.004,1.007373133,77.74807317
Costa Rica,51060,4.519,4897,36.74,,26.09258138,0.3,32.30713195,1,16.677,6.183363774,78.91802439
Sri Lanka,62710,20.156,8935,84.9,18.53627278,7.881231892,0.1,5.77238641,1,18.8,7.254076004,74.12712195
Panama,74340,3.399,2899,26.8,,13.54090141,0.9,27.55377376,1,20.64,6.3800672,75.6607561
