Year,Winner,USC,UCLA,Site,Trivia
1929,USC,76,0,Coliseum*,"First meeting of the two schools in football, first game of season for both teams[9]"
1930,USC,52,0,Coliseum**,First game of season for both teams
1936,TIE,7,7,Coliseum*,"Series resumes, Game moved to Thanksgiving Day November 26, first tie in the series"
1937,USC,19,13,Coliseum**,"First ""home"" game for UCLA"
1938,USC,42,7,Coliseum*,"Game moved to ""rivalry"" weekend before Thanksgiving weekend"
1939,TIE,0,0,Coliseum**,First game with the Rose Bowl on the line for both teams. First time both teams are unbeaten and ranked since AP poll started in 1936. UCLA backfield included immortals Jackie Robinson and Kenny Washington. USC voted Dickinson National Champions and into the 1940 Rose Bowl.
1940,USC,28,12,Coliseum*,
1941,TIE,7,7,Coliseum**,
1942,UCLA,7,14,Coliseum*,1943 Rose Bowl on line for both teams. UCLA makes first appearance in Rose Bowl after first victory over USC; The Victory Bell becomes the trophy of the series.
1943,USC,20,0,Coliseum**,The teams scheduled second game at the beginning of the season due to World War II travel restrictions
1943,USC,26,13,Coliseum*,
1944,TIE,13,13,Coliseum*,The teams scheduled second game at the beginning of the season due to World War II travel restrictions
1944,USC,40,13,Coliseum**,
1945,USC,13,6,Coliseum**,The teams scheduled second game at the beginning of the season due to World War II travel restrictions
1945,USC,26,15,Coliseum*,
1946,UCLA,6,13,Coliseum**,"1947 Rose Bowl on the line for both teams. Game fixed at third weekend in November where it remains until the 2004 season, except for 1975 when it was played on the Friday after Thanksgiving."
1947,USC,6,0,Coliseum*,A UCLA win would have created a four-way tie for first[27][28][29]
1948,USC,20,13,Coliseum**,
1949,USC,21,7,Coliseum*,
1950,UCLA,0,39,Coliseum**,UCLA's greatest margin of victory in series signals era of its legendary Coach Red Sanders
1951,UCLA,7,21,Coliseum*,
1952,USC,14,12,Coliseum**,Both teams unbeaten and untied. UCLA ranked #3 and USC ranked #4
1953,UCLA,0,13,Coliseum*,1954 Rose Bowl on the line for both teams
1954,UCLA,0,34,Coliseum**,"Conference championship on the line for both teams, however UCLA could not go to the Rose Bowl because of PCC no-repeat rule. UCLA would go on to win the UPI National Championship, UCLA's first and only football national championship."
1955,UCLA,7,17,Coliseum*,UCLA already clinched the 1956 Rose Bowl berth before game
1956,USC,10,7,Coliseum**,
1957,UCLA,9,20,Coliseum*,
1958,TIE,15,15,Coliseum**,
1959,UCLA,3,10,Coliseum*,"Final outcome a tie for first in the PCC, USC banned from postseason bowls"
1960,USC,17,6,Coliseum**,
1961,UCLA,7,10,Coliseum*,1962 Rose Bowl on the line for both teams
1962,USC,14,3,Coliseum**,"USC #1 and undefeated, and AP/UPI National Champions"
1963,USC,26,6,Coliseum*,
1964,USC,34,13,Coliseum**,"USC and Oregon State tied for 1st and didn't play each other, OSU selected as AAWU representative for Rose Bowl due to better overall record"
1965,UCLA,16,20,Coliseum*,"1966 Rose Bowl on the line for both teams. UCLA went on to beat #1 Michigan State in the Rose Bowl, 14–12."
1966,UCLA,7,14,Coliseum**,"It was thought before the game that the 1967 Rose Bowl was on the line for both teams. UCLA had a 3–1 conference record vs. a 4–1 record of USC due to scheduling, but USC was voted into the Rose Bowl despite UCLA's win and better overall record (9–1 vs. 7–3)."
1967,USC,21,20,Coliseum*,"The Game of the Century – 1967 Rose Bowl and #1 ranking on the line for both teams. UCLA ranked #1, USC ranked #2. Afterward, USC would win the AP and UPI National Championship"
1968,USC,28,16,Coliseum**,USC ranked #1.
